Sample_ID,SOST_Expression,MKI67,Dataset
GSM519340,4.46035531067605,8.142340536721973,GSE20685
GSM519341,2.58318809032269,9.539770471744427,GSE20685
GSM519342,5.31949251007176,8.853401016846037,GSE20685
GSM519343,1.54112960312494,8.325411108796995,GSE20685
GSM519344,3.88850573144045,8.717497630698833,GSE20685
GSM519345,4.98878368157346,8.916648491491884,GSE20685
GSM519346,5.49294481143478,9.277599711351876,GSE20685
GSM519347,4.46759774777056,8.082734768104483,GSE20685
GSM519348,1.89940698958955,8.415432008458412,GSE20685
GSM519349,4.00249852641065,7.85037128812593,GSE20685
GSM519350,5.32284992344435,8.492944368981467,GSE20685
GSM519351,4.92145639191855,7.302401616999685,GSE20685
GSM519352,5.16920487135342,6.729573882485113,GSE20685
GSM519353,4.84277617469517,7.080487610527897,GSE20685
GSM519354,3.0106387734478,8.506015920697795,GSE20685
GSM519355,1.54682199471642,9.243885650492004,GSE20685
GSM519356,4.4345940465359,6.416914114411309,GSE20685
GSM519357,0.620267695478713,8.104802975739215,GSE20685
GSM519358,5.49647546289308,8.80479806035737,GSE20685
GSM519359,1.78261842403935,9.119936344026144,GSE20685
GSM519360,2.99414396643262,9.083608311955722,GSE20685
GSM519361,2.90494586997617,8.18640883605569,GSE20685
GSM519362,2.66273369925511,9.4381964421641,GSE20685
GSM519363,1.8114874146896,8.364074121684776,GSE20685
GSM519364,2.93454323474737,7.352562239777635,GSE20685
GSM519365,2.91557807279986,7.798689483685244,GSE20685
GSM519366,4.87844488503379,7.885972242240615,GSE20685
GSM519367,2.93198466055553,8.307514846313039,GSE20685
GSM519368,4.86367963472354,8.141352667845355,GSE20685
GSM519369,2.77442680102026,8.528779766740595,GSE20685
GSM519370,2.26170101297253,8.379312590849775,GSE20685
GSM519371,5.55883900726827,8.910860346168988,GSE20685
GSM519372,4.80734191981521,8.524877117738997,GSE20685
GSM519373,3.78831443532732,8.26379092786634,GSE20685
GSM519374,2.12910936490725,8.311311573170265,GSE20685
GSM519375,3.54430828530361,9.25025523804026,GSE20685
GSM519376,3.72991349927252,9.565248372030863,GSE20685
